Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA,Is_Delayed,Resolution_Category
HD0333,2026-08-05,Student,College of Food Science,Website/Multimedia,Website content correction request,Low,2.57,2.32,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0334,2026-04-21,Staff,College of Animal Science,Software/MIS,MIS application not responding,Medium,2.26,17.87,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0335,2026-08-17,Student,College of Agricultural Management,Portal,Programme information not updating,High,0.35,10.28,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0336,2026-06-24,Student,ICTREC,Student Information,Biodata information needs correction,High,2.98,1.31,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0337,2026-05-11,Postgraduate Student,College of Agricultural Management,Website/Multimedia,Website content correction request,Critical,0.66,5.11,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0338,2026-07-25,Staff,College of Plant Science,Software/MIS,Application access problem,Low,1.75,2.21,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0339,2026-02-14,Student,College of Veterinary Medicine,Admission,O'Level verification problem,Low,2.06,8.33,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0340,2026-08-16,Staff,Library,Portal,Portal page not loading,High,2.51,17.51,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0341,2026-07-09,Student,College of Veterinary Medicine,ID Card,ID card details incorrect,Low,5.65,1.12,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0342,2026-02-07,Postgraduate Student,Registry,Internet/Network,Wi-Fi connection unstable,Low,2.85,4.58,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0343,2026-04-23,Staff,College of Food Science,Email,Password reset required for email,High,0.77,9.27,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0344,2026-03-22,Student,College of Food Science,Registration,Course registration error,Low,3.33,2.22,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0345,2026-06-10,Student,College of Veterinary Medicine,Hardware,Printer not responding,Low,5.62,5.56,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0346,2026-04-28,Student,College of Food Science,Registration,Registered course not displaying,High,1.23,14.05,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0347,2026-07-26,Student,College of Environmental Resources,Portal,Portal session keeps expiring,Medium,1.43,5.93,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0348,2026-03-18,Student,Library,Internet/Network,Intermittent network connectivity,Medium,3.6,35.0,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0349,2026-02-22,Postgraduate Student,Academic Planning,Software/MIS,Software installation request,Low,4.55,18.41,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0350,2026-06-06,Student,College of Animal Science,Portal,Portal session keeps expiring,Low,6.32,1.92,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0351,2026-05-30,Student,College of Engineering,Website/Multimedia,Event information needs to be uploaded,Low,2.85,4.28,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0352,2026-01-15,Student,Postgraduate School,Email,University email not working,Low,2.58,45.84,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0353,2026-06-17,Student,College of Plant Science,Payment/Invoice,Receipt cannot be generated,Medium,1.1,8.16,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0354,2026-02-13,Student,Registry,ID Card,ID card printing problem,High,0.74,17.03,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0355,2026-08-09,Postgraduate Student,College of Veterinary Medicine,Payment/Invoice,Payment not reflecting on portal,Medium,0.83,16.57,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0356,2026-06-22,Staff,Registry,Internet/Network,Slow Internet connection,Medium,2.92,21.03,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0357,2026-07-08,Student,College of Animal Science,Admission,Change of course not reflecting,Medium,1.93,6.34,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0358,2026-03-15,Postgraduate Student,Student Affairs,Payment/Invoice,Payment not reflecting on portal,High,1.47,57.62,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0359,2026-01-19,Postgraduate Student,College of Veterinary Medicine,Internet/Network,Wi-Fi connection unstable,Medium,2.77,6.74,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0360,2026-02-03,Staff,Postgraduate School,Email,University email not working,High,1.23,5.62,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0361,2026-08-28,Postgraduate Student,College of Computing Sciences,Registration,Registered course not displaying,Low,4.5,0.93,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0362,2026-08-27,Student,Academic Planning,Student Information,Academic information not updated,Low,1.81,17.39,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0363,2026-05-17,Staff,Registry,Portal,Programme information not updating,Medium,2.86,46.07,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0364,2026-01-27,Staff,ICTREC,Portal,Student profile not displaying correctly,High,1.52,6.34,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0365,2026-03-08,Student,Student Affairs,Portal,Programme information not updating,High,1.11,3.05,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0366,2026-07-27,Postgraduate Student,Postgraduate School,Email,Unable to access staff email,High,1.67,3.09,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0367,2026-07-01,Staff,College of Computing Sciences,Portal,Portal page not loading,Medium,3.25,45.94,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0368,2026-03-06,Postgraduate Student,College of Agricultural Management,Portal,Student profile not displaying correctly,Low,6.69,2.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0369,2026-05-18,Student,Registry,Student Information,Biodata information needs correction,High,1.73,9.58,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0370,2026-08-02,Staff,Registry,Clearance,Clearance process showing incomplete,Low,9.5,5.48,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0371,2026-08-30,Staff,Bursary,Email,Unable to access staff email,Low,1.38,35.43,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0372,2026-07-21,Student,Library,Admission,Admission status not displaying,High,1.06,6.33,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0373,2026-04-06,Student,College of Animal Science,Internet/Network,Slow Internet connection,Medium,3.46,14.72,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0374,2026-07-04,Postgraduate Student,Registry,Payment/Invoice,Invoice not generated,High,1.66,4.28,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0375,2026-04-16,Staff,Bursary,Portal,Unable to login to student portal,Medium,1.86,1.59,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0376,2026-05-27,Postgraduate Student,Bursary,Admission,Admission status not displaying,High,0.9,16.49,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0377,2026-04-10,Student,College of Computing Sciences,Registration,Registered course not displaying,Low,2.22,5.62,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0378,2026-04-28,Student,Student Affairs,Student Information,Biodata information needs correction,Low,2.25,51.04,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0379,2026-04-25,Staff,Registry,Software/MIS,Application error during transaction,High,1.97,41.58,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0380,2026-03-16,Postgraduate Student,College of Agricultural Management,Portal,Portal page not loading,Medium,1.62,6.26,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0381,2026-05-12,Student,College of Environmental Resources,Website/Multimedia,Website page not displaying correctly,Medium,1.89,4.3,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0382,2026-07-28,Staff,College of Agricultural Management,Email,Unable to access staff email,Medium,10.63,4.31,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0383,2026-04-03,Postgraduate Student,College of Agricultural Management,ID Card,ID card not yet available,Medium,4.89,27.1,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0384,2026-03-17,Student,College of Environmental Resources,Payment/Invoice,Invoice not generated,Low,3.73,9.48,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0385,2026-01-30,Postgraduate Student,College of Engineering,Others,Other ICT service issue,Critical,0.57,21.11,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0386,2026-06-01,Postgraduate Student,ICTREC,Internet/Network,Wi-Fi connection unstable,High,2.21,39.49,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0387,2026-08-26,Student,College of Environmental Resources,Payment/Invoice,Payment confirmation delayed,High,2.12,13.17,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0388,2026-07-31,Staff,College of Environmental Resources,Admission,Admission application issue,Medium,3.66,26.67,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0389,2026-03-30,Student,College of Computing Sciences,Payment/Invoice,Invoice not generated,Medium,1.74,14.96,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0390,2026-07-04,Postgraduate Student,Bursary,Portal,Student profile not displaying correctly,Low,3.65,38.52,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0391,2026-06-04,Staff,Registry,Software/MIS,Software installation request,Medium,2.87,2.82,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0392,2026-06-20,Staff,College of Food Science,Payment/Invoice,Receipt cannot be generated,High,1.85,10.41,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0393,2026-06-04,Student,Academic Planning,Admission,Admission portal error,High,2.04,21.89,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0394,2026-04-15,Student,College of Food Science,Admission,Admission status not displaying,High,2.37,38.37,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0395,2026-09-01,Student,Academic Planning,Email,Mailbox access problem,Low,3.66,0.85,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0396,2026-08-03,Student,College of Engineering,Payment/Invoice,Invoice not generated,Medium,3.29,6.29,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0397,2026-02-01,Student,Student Affairs,ID Card,ID card details incorrect,Low,4.41,8.02,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0398,2026-05-24,Staff,Academic Planning,Registration,Course allocation not updating,Medium,1.43,10.3,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0399,2026-03-21,Postgraduate Student,College of Veterinary Medicine,Software/MIS,MIS application not responding,Low,3.72,23.49,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0400,2026-07-11,Student,Registry,Internet/Network,Network connection unavailable,Low,3.86,3.4,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0401,2026-06-21,Student,College of Environmental Resources,Student Information,Academic information not updated,Medium,4.36,2.84,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0402,2026-04-19,Student,College of Computing Sciences,Website/Multimedia,University webpage not updating,Medium,2.74,2.94,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0403,2026-05-25,Student,College of Veterinary Medicine,Admission,Change of course not reflecting,Low,2.99,12.45,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0404,2026-06-17,Student,ICTREC,Payment/Invoice,Outstanding invoice still showing after payment,Medium,2.94,10.14,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0405,2026-03-13,Student,Student Affairs,Portal,Portal session keeps expiring,Medium,5.19,2.22,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0406,2026-03-13,Staff,College of Agricultural Management,Email,Password reset required for email,Low,3.43,5.82,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0407,2026-05-23,Student,Bursary,Internet/Network,Wi-Fi connection unstable,Low,8.42,3.79,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0408,2026-04-22,Student,College of Plant Science,Hardware,Desktop computer not starting,High,2.65,34.86,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0409,2026-07-06,Postgraduate Student,College of Animal Science,Student Information,Matriculation information issue,Low,4.4,3.86,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0410,2026-04-29,Student,College of Veterinary Medicine,Email,Mailbox access problem,Low,3.98,5.0,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0411,2026-06-28,Student,Postgraduate School,Others,Help needed with university application,Low,2.86,5.42,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0412,2026-08-27,Postgraduate Student,Bursary,Others,Other ICT service issue,Low,13.46,9.66,Pending,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0413,2026-07-25,Staff,Student Affairs,Email,Mailbox access problem,Medium,2.03,11.79,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0414,2026-09-02,Staff,Bursary,Email,Unable to access staff email,Medium,6.2,3.26,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0415,2026-08-17,Student,Postgraduate School,Portal,Student profile not displaying correctly,High,1.19,4.21,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0416,2026-06-12,Student,College of Animal Science,Payment/Invoice,Payment not reflecting on portal,Low,1.81,1.65,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0417,2026-03-14,Student,Academic Planning,Admission,Change of course not reflecting,Medium,1.5,9.46,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0418,2026-06-29,Staff,Student Affairs,Software/MIS,Software installation request,High,1.47,9.96,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0419,2026-07-10,Student,Student Affairs,Website/Multimedia,Multimedia support request,High,3.52,2.64,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0420,2026-08-15,Student,Academic Planning,ID Card,Unable to process ID card,High,2.58,4.74,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0421,2026-07-23,Student,Registry,Portal,Student profile not displaying correctly,Medium,2.53,42.93,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0422,2026-05-01,Student,Academic Planning,Portal,Portal page not loading,High,0.81,6.48,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0423,2026-02-05,Student,ICTREC,Payment/Invoice,Receipt cannot be generated,Medium,2.85,7.57,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0424,2026-06-04,Staff,College of Environmental Resources,Internet/Network,Slow Internet connection,Low,4.46,16.44,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0425,2026-02-15,Postgraduate Student,College of Food Science,Payment/Invoice,Payment not reflecting on portal,Low,2.68,38.75,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0426,2026-04-19,Student,College of Veterinary Medicine,Internet/Network,Cannot access campus Internet,Medium,1.85,4.26,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0427,2026-06-07,Postgraduate Student,College of Computing Sciences,Website/Multimedia,Multimedia support request,High,1.06,15.4,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0428,2026-04-04,Student,College of Food Science,ID Card,ID card not yet available,Medium,5.68,2.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0429,2026-01-31,Staff,College of Veterinary Medicine,Internet/Network,Intermittent network connectivity,High,0.95,10.57,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0430,2026-02-01,Staff,College of Plant Science,Others,Other ICT service issue,Medium,1.92,5.99,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0431,2026-08-21,Student,ICTREC,Payment/Invoice,Payment confirmation delayed,Low,4.25,1.12,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0432,2026-07-29,Postgraduate Student,Postgraduate School,Internet/Network,Cannot access campus Internet,High,3.51,24.99,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0433,2026-04-22,Postgraduate Student,College of Veterinary Medicine,Payment/Invoice,Receipt cannot be generated,Critical,0.57,7.0,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0434,2026-06-29,Student,College of Environmental Resources,Admission,Admission application issue,Medium,3.04,6.08,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0435,2026-06-22,Postgraduate Student,College of Engineering,Hardware,Computer system performance is slow,Medium,3.73,28.22,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0436,2026-08-26,Student,College of Food Science,Portal,Student profile not displaying correctly,Medium,2.36,2.36,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0437,2026-04-22,Student,Library,Admission,Change of course not reflecting,Low,1.78,19.92,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0438,2026-06-03,Staff,College of Animal Science,Internet/Network,Wi-Fi connection unstable,Medium,2.55,19.62,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0439,2026-03-22,Postgraduate Student,College of Plant Science,ID Card,Lost ID card replacement request,High,1.13,6.3,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0440,2026-08-21,Student,Bursary,Website/Multimedia,Website content correction request,Medium,2.58,25.22,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0441,2026-03-26,Student,Registry,Payment/Invoice,Receipt cannot be generated,Medium,10.44,3.89,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0442,2026-07-25,Staff,Library,Portal,Portal page not loading,Medium,1.99,9.7,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0443,2026-04-10,Student,College of Agricultural Management,ID Card,Unable to process ID card,Medium,3.78,43.46,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0444,2026-03-09,Postgraduate Student,Library,Hardware,Desktop computer not starting,Medium,3.58,6.05,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0445,2026-02-16,Staff,Bursary,Website/Multimedia,University webpage not updating,Medium,3.6,8.17,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0446,2026-08-20,Staff,College of Animal Science,Portal,Programme information not updating,Medium,4.08,5.52,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0447,2026-07-31,Staff,College of Engineering,Portal,Portal page not loading,Low,6.83,4.63,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0448,2026-02-17,Postgraduate Student,Bursary,Internet/Network,Cannot access campus Internet,High,3.21,11.86,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0449,2026-06-06,Student,College of Veterinary Medicine,Admission,Change of course not reflecting,High,1.37,33.8,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0450,2026-03-10,Student,Registry,ID Card,Unable to process ID card,Medium,5.05,2.52,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0451,2026-06-23,Postgraduate Student,College of Veterinary Medicine,Internet/Network,Wi-Fi connection unstable,Medium,3.18,4.73,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0452,2026-03-18,Student,ICTREC,ID Card,Lost ID card replacement request,Medium,2.64,9.82,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0453,2026-02-25,Student,College of Environmental Resources,Portal,Portal page not loading,High,1.67,5.21,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0454,2026-03-06,Student,College of Animal Science,Registration,Registered course not displaying,Medium,1.23,8.44,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0455,2026-07-09,Postgraduate Student,College of Veterinary Medicine,Admission,O'Level verification problem,Low,5.42,44.0,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0456,2026-01-15,Staff,Student Affairs,ID Card,ID card not yet available,Medium,2.2,21.13,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0457,2026-06-19,Postgraduate Student,Registry,Admission,Admission status not displaying,Low,4.36,7.43,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0458,2026-02-03,Staff,Student Affairs,Payment/Invoice,Payment not reflecting on portal,Medium,2.47,6.59,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0459,2026-07-28,Postgraduate Student,College of Food Science,Student Information,Academic information not updated,High,2.1,5.71,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0460,2026-05-08,Postgraduate Student,College of Computing Sciences,Portal,Portal page not loading,Low,2.97,34.49,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0461,2026-08-18,Staff,Postgraduate School,Internet/Network,Network connection unavailable,Medium,4.69,46.88,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0462,2026-01-08,Staff,Registry,Portal,Portal session keeps expiring,Medium,2.8,9.17,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0463,2026-04-01,Student,College of Environmental Resources,Admission,Admission application issue,Critical,1.54,2.97,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0464,2026-06-18,Student,College of Veterinary Medicine,Admission,Admission application issue,Medium,1.91,6.25,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0465,2026-02-14,Postgraduate Student,Academic Planning,Software/MIS,Application access problem,Low,8.99,3.51,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0466,2026-03-17,Postgraduate Student,Registry,Registration,Course allocation not updating,Medium,1.92,17.64,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0467,2026-05-31,Postgraduate Student,College of Agricultural Management,Internet/Network,Slow Internet connection,High,0.68,5.79,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0468,2026-01-09,Staff,College of Engineering,Website/Multimedia,University webpage not updating,Critical,1.02,4.69,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0469,2026-06-17,Student,ICTREC,Registration,Course registration error,High,0.86,10.48,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0470,2026-05-01,Student,College of Animal Science,Registration,Unable to submit course registration,Medium,2.97,9.21,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0471,2026-03-02,Postgraduate Student,College of Animal Science,Hardware,Keyboard or mouse not working,Medium,1.29,52.5,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0472,2026-01-16,Staff,Student Affairs,Payment/Invoice,Outstanding invoice still showing after payment,Medium,3.72,26.68,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0473,2026-02-22,Postgraduate Student,College of Food Science,Software/MIS,System error during data entry,Low,10.49,1.83,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0474,2026-08-30,Student,College of Animal Science,Website/Multimedia,Website content correction request,Medium,1.12,7.69,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0475,2026-02-08,Postgraduate Student,College of Animal Science,Admission,O'Level verification problem,Medium,2.54,6.18,In Progress,No,Within 8 Hours,No,Fast (< 8 hrs)
HD0476,2026-08-28,Staff,ICTREC,Admission,Admission portal error,Medium,2.28,35.06,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0477,2026-03-28,Student,Registry,Internet/Network,Slow Internet connection,Medium,1.31,15.62,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0478,2026-03-21,Postgraduate Student,Postgraduate School,Payment/Invoice,Invoice not generated,Low,3.63,6.2,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0479,2026-08-13,Staff,College of Environmental Resources,Portal,Programme information not updating,Low,4.59,2.92,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0480,2026-04-03,Student,Library,Admission,Admission application issue,Medium,3.56,11.57,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0481,2026-05-28,Student,College of Food Science,Admission,Change of course not reflecting,Medium,3.7,11.6,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0482,2026-07-30,Student,College of Veterinary Medicine,Email,Mailbox access problem,Low,4.23,3.96,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0483,2026-07-16,Staff,Bursary,Portal,Unable to login to student portal,Medium,2.47,47.31,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0484,2026-04-06,Postgraduate Student,College of Food Science,Admission,Change of course not reflecting,Low,2.62,10.3,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0485,2026-03-06,Postgraduate Student,College of Plant Science,Website/Multimedia,Website content correction request,High,1.47,1.99,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0486,2026-07-25,Postgraduate Student,Student Affairs,Hardware,Desktop computer not starting,High,1.61,19.13,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0487,2026-04-28,Student,Library,Email,Mailbox access problem,High,2.38,44.28,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0488,2026-07-09,Student,College of Environmental Resources,Admission,Admission portal error,High,1.17,18.36,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0489,2026-02-04,Postgraduate Student,Registry,Internet/Network,Cannot access campus Internet,Critical,0.62,2.07,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0490,2026-09-01,Student,Bursary,Registration,Registration page not responding,High,0.63,34.31,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0491,2026-08-08,Staff,College of Environmental Resources,Internet/Network,Wi-Fi connection unstable,High,2.31,10.26,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0492,2026-05-18,Student,Registry,Registration,Unable to submit course registration,Medium,1.53,5.04,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0493,2026-06-23,Student,College of Agricultural Management,Registration,Course registration error,Medium,2.59,2.45,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0494,2026-07-16,Staff,College of Environmental Resources,Payment/Invoice,Outstanding invoice still showing after payment,Medium,5.94,9.73,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0495,2026-01-15,Student,College of Veterinary Medicine,Admission,Admission portal error,High,1.33,6.33,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0496,2026-07-21,Student,College of Plant Science,Payment/Invoice,Payment confirmation delayed,Low,4.26,0.8,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0497,2026-03-28,Staff,College of Animal Science,Software/MIS,Application error during transaction,Low,3.32,2.35,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0498,2026-02-27,Staff,Postgraduate School,Student Information,Student information request,Medium,1.5,3.31,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
